id,"question",level,"created_at","updated_at"
463,"дядя",1,NULL,NULL
464,"приходить",1,NULL,NULL
465,"часто",1,NULL,NULL
466,"домой",1,NULL,NULL
467,"огонь",1,NULL,NULL
468,"писатель",1,NULL,NULL
469,"армия",1,NULL,NULL
470,"состояние",1,NULL,NULL
471,"зуб",1,NULL,NULL
472,"очередь",1,NULL,NULL
473,"кой",1,NULL,NULL
474,"подняться",1,NULL,NULL
475,"камень",1,NULL,NULL
476,"гость",1,NULL,NULL
477,"показаться",1,NULL,NULL
478,"ветер",1,NULL,NULL
479,"собираться",1,NULL,NULL
480,"попасть",1,NULL,NULL
481,"принять",1,NULL,NULL
482,"сначала",1,NULL,NULL
483,"либо",1,NULL,NULL
484,"поехать",1,NULL,NULL
485,"услышать",1,NULL,NULL
486,"уметь",1,NULL,NULL
487,"случиться",1,NULL,NULL
488,"странный",1,NULL,NULL
489,"единственный",1,NULL,NULL
490,"рота",1,NULL,NULL
491,"закон",1,NULL,NULL
492,"короткий",1,NULL,NULL
493,"море",1,NULL,NULL
494,"добрый",1,NULL,NULL
495,"темный",1,NULL,NULL
496,"гора",1,NULL,NULL
497,"врач",1,NULL,NULL
498,"край",1,NULL,NULL
499,"стараться",1,NULL,NULL
500,"лучший",1,NULL,NULL
501,"река",1,NULL,NULL
502,"военный",1,NULL,NULL
503,"мера",1,NULL,NULL
504,"страшный",1,NULL,NULL
505,"вполне",1,NULL,NULL
506,"звать",1,NULL,NULL
507,"произойти",1,NULL,NULL
508,"вперед",1,NULL,NULL
509,"медленно",1,NULL,NULL
510,"возле",1,NULL,NULL
511,"никак",1,NULL,NULL
512,"заниматься",1,NULL,NULL
513,"действие",1,NULL,NULL
514,"довольно",1,NULL,NULL
515,"вещь",1,NULL,NULL
516,"необходимый",1,NULL,NULL
517,"ход",1,NULL,NULL
518,"боль",1,NULL,NULL
519,"судьба",1,NULL,NULL
520,"причина",1,NULL,NULL
521,"положить",1,NULL,NULL
522,"едва",1,NULL,NULL
523,"черта",1,NULL,NULL
524,"девочка",1,NULL,NULL
525,"лёгкий",1,NULL,NULL
526,"волос",1,NULL,NULL
527,"купить",1,NULL,NULL
528,"номер",1,NULL,NULL
529,"основной",1,NULL,NULL
530,"широкий",1,NULL,NULL
531,"умереть",1,NULL,NULL
532,"далеко",1,NULL,NULL
533,"плохо",1,NULL,NULL
534,"глава",1,NULL,NULL
535,"красивый",1,NULL,NULL
536,"серый",1,NULL,NULL
537,"пить",1,NULL,NULL
538,"командир",1,NULL,NULL
539,"обычно",1,NULL,NULL
540,"партия",1,NULL,NULL
541,"проблема",1,NULL,NULL
542,"страх",1,NULL,NULL
543,"проходить",1,NULL,NULL
544,"ясно",1,NULL,NULL
545,"снять",1,NULL,NULL
546,"бумага",1,NULL,NULL
547,"герой",1,NULL,NULL
548,"пара",1,NULL,NULL
549,"государство",1,NULL,NULL
550,"деревня",1,NULL,NULL
551,"речь",1,NULL,NULL
552,"начаться",1,NULL,NULL
553,"средство",1,NULL,NULL
554,"положение",1,NULL,NULL
555,"связь",1,NULL,NULL
556,"скоро",1,NULL,NULL
557,"небольшой",1,NULL,NULL
558,"представлять",1,NULL,NULL
559,"завтра",1,NULL,NULL
560,"объяснить",1,NULL,NULL
561,"пустой",1,NULL,NULL
562,"произнести",1,NULL,NULL
563,"человеческий",1,NULL,NULL
564,"нравиться",1,NULL,NULL
565,"однажды",1,NULL,NULL
566,"мимо",1,NULL,NULL
567,"иначе",1,NULL,NULL
568,"существовать",1,NULL,NULL
569,"класс",1,NULL,NULL
570,"удаться",1,NULL,NULL
571,"толстый",1,NULL,NULL
572,"цель",1,NULL,NULL
573,"сквозь",1,NULL,NULL
574,"прийтись",1,NULL,NULL
575,"чистый",1,NULL,NULL
576,"знать",1,NULL,NULL
577,"прежний",1,NULL,NULL
578,"профессор",1,NULL,NULL
579,"господин",1,NULL,NULL
580,"счастье",1,NULL,NULL
581,"худой",1,NULL,NULL
582,"дух",1,NULL,NULL
583,"план",1,NULL,NULL
584,"чужой",1,NULL,NULL
585,"зал",1,NULL,NULL
586,"представить",1,NULL,NULL
587,"особый",1,NULL,NULL
588,"директор",1,NULL,NULL
589,"бывший",1,NULL,NULL
590,"память",1,NULL,NULL
591,"близкий",1,NULL,NULL
592,"сей",1,NULL,NULL
593,"результат",1,NULL,NULL
594,"больной",1,NULL,NULL
595,"данный",1,NULL,NULL
596,"кстати",1,NULL,NULL
597,"назвать",1,NULL,NULL
598,"след",1,NULL,NULL
599,"улыбаться",1,NULL,NULL
600,"бутылка",1,NULL,NULL
701,"остальной",1,NULL,NULL
702,"половина",1,NULL,NULL
703,"московский",1,NULL,NULL
704,"шесть",1,NULL,NULL
705,"получиться",1,NULL,NULL
706,"качество",1,NULL,NULL
707,"бой",1,NULL,NULL
708,"шея",1,NULL,NULL
709,"вон",1,NULL,NULL
710,"идея",1,NULL,NULL
711,"видимо",1,NULL,NULL
712,"достаточно",1,NULL,NULL
713,"провести",1,NULL,NULL
714,"важный",1,NULL,NULL
715,"трава",1,NULL,NULL
716,"дед",1,NULL,NULL
717,"сознание",1,NULL,NULL
718,"родитель",1,NULL,NULL
719,"простить",1,NULL,NULL
720,"бить",1,NULL,NULL
721,"чай",1,NULL,NULL
722,"поздний",1,NULL,NULL
723,"кивнуть",1,NULL,NULL
724,"род",1,NULL,NULL
725,"исчезнуть",1,NULL,NULL
726,"тонкий",1,NULL,NULL
727,"немецкий",1,NULL,NULL
728,"звук",1,NULL,NULL
729,"отдать",1,NULL,NULL
730,"магазин",1,NULL,NULL
731,"президент",1,NULL,NULL
732,"поэт",1,NULL,NULL
733,"спасибо",1,NULL,NULL
734,"болезнь",1,NULL,NULL
735,"событие",1,NULL,NULL
736,"помочь",1,NULL,NULL
737,"кожа",1,NULL,NULL
738,"лист",1,NULL,NULL
739,"слать",1,NULL,NULL
740,"вспоминать",1,NULL,NULL
741,"прекрасный",1,NULL,NULL
742,"слеза",1,NULL,NULL
743,"надежда",1,NULL,NULL
744,"молча",1,NULL,NULL
745,"сильно",1,NULL,NULL
746,"верный",1,NULL,NULL
747,"литература",1,NULL,NULL
748,"оружие",1,NULL,NULL
749,"готовый",1,NULL,NULL
750,"запах",1,NULL,NULL
751,"неожиданно",1,NULL,NULL
752,"вчера",1,NULL,NULL
753,"вздохнуть",1,NULL,NULL
754,"роль",1,NULL,NULL
755,"рост",1,NULL,NULL
756,"природа",1,NULL,NULL
757,"политический",1,NULL,NULL
758,"точка",1,NULL,NULL
759,"звезда",1,NULL,NULL
760,"петь",1,NULL,NULL
761,"садиться",1,NULL,NULL
762,"фамилия",1,NULL,NULL
763,"характер",1,NULL,NULL
764,"пожалуйста",1,NULL,NULL
765,"выше",1,NULL,NULL
766,"офицер",1,NULL,NULL
767,"толпа",1,NULL,NULL
768,"перестать",1,NULL,NULL
769,"придтись",1,NULL,NULL
770,"уровень",1,NULL,NULL
771,"неизвестный",1,NULL,NULL
772,"кресло",1,NULL,NULL
773,"баба",1,NULL,NULL
774,"секунда",1,NULL,NULL
775,"пожаловать",1,NULL,NULL
776,"банк",1,NULL,NULL
777,"опыт",1,NULL,NULL
778,"тихий",1,NULL,NULL
779,"поскольку",1,NULL,NULL
780,"сапог",1,NULL,NULL
781,"правило",1,NULL,NULL
782,"стекло",1,NULL,NULL
783,"получать",1,NULL,NULL
784,"внутренний",1,NULL,NULL
785,"дочь",1,NULL,NULL
786,"называться",1,NULL,NULL
787,"надеяться",1,NULL,NULL
788,"член",1,NULL,NULL
789,"протянуть",1,NULL,NULL
790,"государственный",1,NULL,NULL
791,"десяток",1,NULL,NULL
792,"глубокий",1,NULL,NULL
793,"цветок",1,NULL,NULL
794,"ах",1,NULL,NULL
795,"желание",1,NULL,NULL
796,"дождь",1,NULL,NULL
797,"впереди",1,NULL,NULL
798,"подходить",1,NULL,NULL
799,"много",1,NULL,NULL
800,"лоб",1,NULL,NULL
801,"улыбка",1,NULL,NULL
802,"борьба",1,NULL,NULL
803,"ворот",1,NULL,NULL
804,"ящик",1,NULL,NULL
805,"этаж",1,NULL,NULL
806,"служить",1,NULL,NULL
807,"вновь",1,NULL,NULL
808,"голубой",1,NULL,NULL
809,"нечего",1,NULL,NULL
810,"революция",1,NULL,NULL
811,"впервые",1,NULL,NULL
812,"сосед",1,NULL,NULL
813,"сестра",1,NULL,NULL
814,"долгий",1,NULL,NULL
815,"чей",1,NULL,NULL
816,"поверить",1,NULL,NULL
817,"ситуация",1,NULL,NULL
818,"взглянуть",1,NULL,NULL
819,"слабый",1,NULL,NULL
820,"количество",1,NULL,NULL
821,"вызывать (See #663)",1,NULL,NULL
822,"уверенный",1,NULL,NULL
823,"выход",1,NULL,NULL
824,"совет",1,NULL,NULL
825,"дурак",1,NULL,NULL
826,"любимый",1,NULL,NULL
827,"союз",1,NULL,NULL
828,"лето",1,NULL,NULL
829,"ожидать",1,NULL,NULL
830,"пришлый",1,NULL,NULL
831,"висеть",1,NULL,NULL
832,"граница",1,NULL,NULL
833,"цвет",1,NULL,NULL
834,"серьезный",1,NULL,NULL
835,"создать",1,NULL,NULL
836,"интересно",1,NULL,NULL
837,"свобода",1,NULL,NULL
838,"зато",1,NULL,NULL
839,"стул",1,NULL,NULL
840,"уехать",1,NULL,NULL
841,"поезд",1,NULL,NULL
842,"музыка",1,NULL,NULL
843,"быстрый",1,NULL,NULL
844,"тень",1,NULL,NULL
845,"лошадь",1,NULL,NULL
846,"поле",1,NULL,NULL
847,"выглядеть",1,NULL,NULL
848,"учиться",1,NULL,NULL
849,"левый",1,NULL,NULL
850,"разговаривать",1,NULL,NULL
851,"детский",1,NULL,NULL
852,"тип",1,NULL,NULL
853,"суд",1,NULL,NULL
854,"связанный",1,NULL,NULL
855,"горячий",1,NULL,NULL
856,"площадь",1,NULL,NULL
857,"помогать",1,NULL,NULL
858,"счастливый",1,NULL,NULL
859,"повернуться",1,NULL,NULL
860,"позволить",1,NULL,NULL
861,"встретить",1,NULL,NULL
862,"радость",1,NULL,NULL
863,"острый",1,NULL,NULL
864,"возраст",1,NULL,NULL
865,"орган",1,NULL,NULL
866,"карта",1,NULL,NULL
867,"входить",1,NULL,NULL
868,"обнаружить",1,NULL,NULL
869,"король",1,NULL,NULL
870,"слава",1,NULL,NULL
871,"полковник",1,NULL,NULL
872,"мелкий",1,NULL,NULL
873,"бок",1,NULL,NULL
874,"цена",1,NULL,NULL
875,"информация",1,NULL,NULL
876,"мозг",1,NULL,NULL
877,"удовольствие",1,NULL,NULL
878,"воля",1,NULL,NULL
879,"область",1,NULL,NULL
880,"крыша",1,NULL,NULL
881,"нести",1,NULL,NULL
882,"обратно",1,NULL,NULL
883,"современный",1,NULL,NULL
884,"дама",1,NULL,NULL
885,"семь",1,NULL,NULL
886,"веселый",1,NULL,NULL
887,"прислать",1,NULL,NULL
888,"сад",1,NULL,NULL
889,"правительство",1,NULL,NULL
890,"милый",1,NULL,NULL
891,"относиться",1,NULL,NULL
892,"возникать",1,NULL,NULL
893,"мол",1,NULL,NULL
894,"повторить",1,NULL,NULL
895,"название",1,NULL,NULL
896,"средний",1,NULL,NULL
897,"пример",1,NULL,NULL
898,"невозможно",1,NULL,NULL
899,"зеркало",1,NULL,NULL
900,"погибнуть",1,NULL,NULL
901,"американский",1,NULL,NULL
902,"дым",1,NULL,NULL
903,"гореть",1,NULL,NULL
904,"плакать",1,NULL,NULL
905,"весьма",1,NULL,NULL
906,"факт",1,NULL,NULL
907,"двигаться",1,NULL,NULL
908,"рыба",1,NULL,NULL
909,"добавить",1,NULL,NULL
910,"удивиться",1,NULL,NULL
911,"бабушка",1,NULL,NULL
912,"вино",1,NULL,NULL
913,"ибо",1,NULL,NULL
914,"учитель",1,NULL,NULL
915,"действовать",1,NULL,NULL
916,"осторожно",1,NULL,NULL
917,"круг",1,NULL,NULL
918,"папа",1,NULL,NULL
919,"правильно",1,NULL,NULL
920,"недавно",1,NULL,NULL
921,"держаться",1,NULL,NULL
922,"причем",1,NULL,NULL
923,"лететь",1,NULL,NULL
924,"носить",1,NULL,NULL
925,"повод",1,NULL,NULL
926,"лагерь",1,NULL,NULL
927,"птица",1,NULL,NULL
928,"корабль",1,NULL,NULL
929,"мнение",1,NULL,NULL
930,"ночной",1,NULL,NULL
931,"здоровый",1,NULL,NULL
932,"зима",1,NULL,NULL
933,"сухой",1,NULL,NULL
934,"километр",1,NULL,NULL
935,"кровать",1,NULL,NULL
936,"привыкнуть",1,NULL,NULL
937,"прочее",1,NULL,NULL
938,"свободный",1,NULL,NULL
939,"лестница",1,NULL,NULL
940,"неужели",1,NULL,NULL
941,"обязательно",1,NULL,NULL
942,"вверх",1,NULL,NULL
943,"детство",1,NULL,NULL
944,"остров",1,NULL,NULL
945,"статья",1,NULL,NULL
946,"позвонить",1,NULL,NULL
947,"столь",1,NULL,NULL
948,"мешать",1,NULL,NULL
949,"водка",1,NULL,NULL
950,"темнота",1,NULL,NULL
951,"возникнуть",1,NULL,NULL
952,"способный",1,NULL,NULL
953,"станция",1,NULL,NULL
954,"желать",1,NULL,NULL
955,"попробовать",1,NULL,NULL
956,"получаться",1,NULL,NULL
957,"гражданин",1,NULL,NULL
958,"странно",1,NULL,NULL
959,"вскоре",1,NULL,NULL
960,"интересный",1,NULL,NULL
961,"команда",1,NULL,NULL
962,"заболевание",1,NULL,NULL
963,"живот",1,NULL,NULL
964,"ставить",1,NULL,NULL
965,"ради",1,NULL,NULL
966,"тишина",1,NULL,NULL
967,"понятно",1,NULL,NULL
968,"фронт",1,NULL,NULL
969,"щека",1,NULL,NULL
970,"страшно",1,NULL,NULL
971,"район",1,NULL,NULL
972,"наверно",1,NULL,NULL
973,"проводить",1,NULL,NULL
974,"выражение",1,NULL,NULL
975,"слегка",1,NULL,NULL
976,"мешок",1,NULL,NULL
977,"обещать",1,NULL,NULL
978,"дорогой",1,NULL,NULL
979,"судить",1,NULL,NULL
980,"большинство",1,NULL,NULL
981,"собраться",1,NULL,NULL
982,"управление",1,NULL,NULL
983,"колоть",1,NULL,NULL
984,"мокрый",1,NULL,NULL
985,"приказ",1,NULL,NULL
986,"прямой",1,NULL,NULL
987,"закричать",1,NULL,NULL
988,"кончиться",1,NULL,NULL
989,"куст",1,NULL,NULL
990,"стрелять",1,NULL,NULL
991,"художник",1,NULL,NULL
992,"знак",1,NULL,NULL
993,"завод",1,NULL,NULL
994,"кулак",1,NULL,NULL
995,"использовать",1,NULL,NULL
996,"стакан",1,NULL,NULL
997,"пахнуть",1,NULL,NULL
998,"отсюда",1,NULL,NULL
999,"рот",1,NULL,NULL
1000,"пора",1,NULL,NULL
